Имя объекта;Тип объекта;Синоним;Файл
Справочник.ОтветственныеЗаПодписаниеСообщенийЗЕРНО;Справочник;Ответственные за подписание сообщений ФГИС "Зерно";Справочник_ОтветственныеЗаПодписаниеСообщенийЗЕРНО.md
Справочник.ОтправкиМинобороны;Справочник;Отправки в Министерство обороны РФ;Справочник_ОтправкиМинобороны.md
Справочник.ОтправкиРПН;Справочник;Отправки в РПН;Справочник_ОтправкиРПН.md
Справочник.ОтправкиФСРАР;Справочник;Отправки в ФСРАР;Справочник_ОтправкиФСРАР.md
Справочник.ОтправкиФСС;Справочник;Отправки в СФР (бывш. ФСС);Справочник_ОтправкиФСС.md
Справочник.ОтраслевыеСегментыПоМСФО;Справочник;Отраслевые сегменты по МСФО;Справочник_ОтраслевыеСегментыПоМСФО.md
Справочник.ОформленияСтрокПисем;Справочник;Оформления строк писем;Справочник_ОформленияСтрокПисем.md
Справочник.ПакетЭДПрисоединенныеФайлы;Справочник;Присоединенные файлы (Пакет электронных документов);Справочник_ПакетЭДПрисоединенныеФайлы.md
Справочник.ПараметрыВыпускаПродукции;Справочник;Параметры выпуска продукции;Справочник_ПараметрыВыпускаПродукции.md
Справочник.ПараметрыВыработкиОС;Справочник;Параметры выработки ОС;Справочник_ПараметрыВыработкиОС.md
Справочник.ПараметрыИсчисляемогоСтраховогоСтажа2014;Справочник;Параметры исчисляемого страхового стажа с 2014 года;Справочник_ПараметрыИсчисляемогоСтраховогоСтажа2014.md
Справочник.ПерепискаСКонтролирующимиОрганами;Справочник;Переписка с контролирующими органами;Справочник_ПерепискаСКонтролирующимиОрганами.md
Справочник.ПодключаемоеОборудование;Справочник;Подключаемое оборудование;Справочник_ПодключаемоеОборудование.md
Справочник.Подразделения;Справочник;Подразделения;Справочник_Подразделения.md
Справочник.ПодразделенияОрганизаций;Справочник;Подразделения организации;Справочник_ПодразделенияОрганизаций.md
Справочник.ПоказателиАнализовНоменклатуры;Справочник;Показатели анализов номенклатуры;Справочник_ПоказателиАнализовНоменклатуры.md
Справочник.ПоказателиСхемМотивации;Справочник;Показатели схем мотивации;Справочник_ПоказателиСхемМотивации.md
Справочник.ПолномочияПредставителяФСС;Справочник;Полномочия представителя ФСС;Справочник_ПолномочияПредставителяФСС.md
Справочник.Пользователи;Справочник;Пользователи;Справочник_Пользователи.md
Справочник.Помещения;Справочник;Помещения;Справочник_Помещения.md
Справочник.ПорядокПрисвоенияСерийныхНомеров;Справочник;Порядок присвоения серийных номеров;Справочник_ПорядокПрисвоенияСерийныхНомеров.md
Справочник.ПравилаПроверкиПолномочийМЧД;Справочник;Правила проверки полномочий доверенностей;Справочник_ПравилаПроверкиПолномочийМЧД.md
Справочник.ПричиныЗакрытияЗаказов;Справочник;Причины закрытия заказов;Справочник_ПричиныЗакрытияЗаказов.md
Справочник.ПричиныОбслуживанияОС;Справочник;Причины обслуживания ОС;Справочник_ПричиныОбслуживанияОС.md
